playerName,avgDriveDist,drivePct,avgPuttsPerRound,onePuttPct,driveSG,puttsSG,avgScore,tournament,courseYards
Cameron Tringale,305.8,53.57,29.25,30.56,0.089,-0.542,69.36,The Genesis Invitational,7322
Hideki Matsuyama,305.5,51.79,27.5,40.28,0.361,0.241,70.61,The Genesis Invitational,7322
Keegan Bradley,304.9,33.93,27,47.22,-0.319,-0.171,70.86,The Genesis Invitational,7322
Aaron Rai,304.5,62.5,27,44.44,-0.396,-0.519,71.36,The Genesis Invitational,7322
Sergio Garcia,304.3,66.07,28.25,41.67,0.804,0.45,70.61,The Genesis Invitational,7322
Matthew NeSmith,303.6,53.57,27.25,50,0.045,-0.436,71.11,The Genesis Invitational,7322
Alex Noren,302.9,48.21,27.5,45.83,-0.223,-0.562,70.86,The Genesis Invitational,7322
Russell Henley,302.8,48.21,28.25,44.44,-0.421,0.291,70.36,The Genesis Invitational,7322
Sahith Theegala,301.8,53.57,27,48.61,0.024,0.127,70.86,The Genesis Invitational,7322
Patton Kizzire,301.1,35.71,29.75,41.67,-0.505,-0.615,71.36,The Genesis Invitational,7322
Charley Hoffman,300.9,41.07,28.25,43.06,-0.425,0.178,71.86,The Genesis Invitational,7322
Sebastián Muñoz,300.9,69.64,29.75,33.33,1.479,-1.082,69.86,The Genesis Invitational,7322
Harry Higgs,298.9,41.07,26,48.61,-0.248,0.557,71.11,The Genesis Invitational,7322
Sam Ryder,297.8,55.36,27,47.22,-0.228,1.106,70.11,The Genesis Invitational,7322
Scott Piercy,297.6,48.21,26.5,52.78,-0.295,0.697,71.36,The Genesis Invitational,7322
Joaquin Niemann,296.8,44.64,25.5,52.78,0.49,0.613,66.86,The Genesis Invitational,7322
Matt Kuchar,295.8,42.86,26.5,45.83,-1.108,0.429,71.61,The Genesis Invitational,7322
Francesco Molinari,295.1,48.21,26.5,47.22,-0.973,0.445,71.11,The Genesis Invitational,7322
Aaron Wise,295.1,48.21,29.75,40.28,0.02,-0.759,71.61,The Genesis Invitational,7322
Pat Perez,294.5,51.79,27.5,44.44,-0.822,0.042,70.61,The Genesis Invitational,7322
Adam Long,293.5,51.79,26.5,48.61,-0.758,-0.186,73.11,The Genesis Invitational,7322
Tony Finau,289.6,30.36,28.5,44.44,-0.36,-0.238,70.36,The Genesis Invitational,7322
Chez Reavie,289.4,62.5,25.5,44.44,-0.123,0.53,69.11,The Genesis Invitational,7322
Brian Stuard,289.4,66.07,28,41.67,-0.069,-0.089,71.36,The Genesis Invitational,7322
Andrew Putnam,288,42.86,28.5,41.67,-1.163,-0.053,70.86,The Genesis Invitational,7322
Cameron Smith,276.4,32.14,28,43.06,-0.974,-0.093,70.36,The Genesis Invitational,7322
Dylan Frittelli,270.3,50,27.25,43.06,-0.126,-0.166,70.11,The Genesis Invitational,7322
Rory McIlroy,330.5,60.71,29.25,36.11,0.959,-0.255,70.204,Arnold Palmer Invitational,7466
Cameron Young,327,51.79,27.25,50,1.146,0.056,70.204,Arnold Palmer Invitational,7466
Taylor Pendrith,325.6,50,29.5,38.89,0.576,-0.636,71.704,Arnold Palmer Invitational,7466
Sam Burns,322.8,51.79,28.25,38.89,0.177,1.488,69.704,Arnold Palmer Invitational,7466
Will Zalatoris,322.6,53.57,28.25,43.06,1.04,-0.474,71.454,Arnold Palmer Invitational,7466
Cameron Champ,318.9,51.79,29.75,38.89,0.218,0.421,72.454,Arnold Palmer Invitational,7466
Jon Rahm,318.3,51.79,30.5,30.56,1.134,-0.985,70.454,Arnold Palmer Invitational,7466
Davis Thompson,315.9,60.71,28.75,41.67,0.458,-0.599,71.704,Arnold Palmer Invitational,7466
Matthew Wolff,315.3,51.79,27.5,48.61,-0.051,0.48,72.454,Arnold Palmer Invitational,7466
Danny Willett,314.8,53.57,26.75,44.44,-0.156,1.07,71.954,Arnold Palmer Invitational,7466
Patrick Rodgers,313.8,42.86,27.5,47.22,-0.444,0.771,71.454,Arnold Palmer Invitational,7466
Thomas Pieters,313.3,55.36,29,44.44,0.747,0.319,71.204,Arnold Palmer Invitational,7466
Scottie Scheffler,311.9,51.79,28,43.06,-0.094,1.064,68.704,Arnold Palmer Invitational,7466
Tyrrell Hatton,311.6,58.93,26.25,47.22,0.549,1.992,68.954,Arnold Palmer Invitational,7466
Aaron Wise,311.6,64.29,29.5,43.06,1.22,-1.096,70.454,Arnold Palmer Invitational,7466
Beau Hossler,310.6,46.43,27.5,45.83,-0.619,1.447,70.704,Arnold Palmer Invitational,7466
Jason Kokrak,310.5,60.71,28.5,43.06,-0.088,1.017,70.954,Arnold Palmer Invitational,7466
Max Homa,310,64.29,29.25,37.5,0.399,-0.427,70.454,Arnold Palmer Invitational,7466
Adam Schenk,309.5,58.93,29,38.89,-0.181,-0.77,71.704,Arnold Palmer Invitational,7466
Keith Mitchell,309.1,58.93,29.75,37.5,0.719,-0.457,72.454,Arnold Palmer Invitational,7466
Gary Woodland,309.1,51.79,28.75,38.89,0.043,1.567,69.204,Arnold Palmer Invitational,7466
Paul Casey,308.5,50,30.25,34.72,-0.579,-1.041,73.204,Arnold Palmer Invitational,7466
Brendan Steele,308,55.36,29.75,34.72,1.051,-1.481,70.954,Arnold Palmer Invitational,7466
Lucas Herbert,307.3,53.57,25.75,54.17,-0.406,2.118,69.454,Arnold Palmer Invitational,7466
Rickie Fowler,307,64.29,29.75,33.33,0.62,-1.035,71.954,Arnold Palmer Invitational,7466
Sebastián Muñoz,307,53.57,29.75,40.28,0.008,-0.049,70.954,Arnold Palmer Invitational,7466
Adam Scott,306.6,58.93,27,44.44,0.644,1.618,70.954,Arnold Palmer Invitational,7466
Keegan Bradley,305.5,58.93,27.25,43.06,0.745,0.913,69.954,Arnold Palmer Invitational,7466
Russell Henley,305.3,67.86,27.75,37.5,-0.274,-0.132,70.204,Arnold Palmer Invitational,7466
Sungjae Im,305.3,48.21,27.25,47.22,-0.164,1.793,70.704,Arnold Palmer Invitational,7466
Si Woo Kim,305,53.57,28.5,41.67,0.432,0.219,70.954,Arnold Palmer Invitational,7466
Taylor Moore,305,57.14,27.5,48.61,-0.893,0.661,71.704,Arnold Palmer Invitational,7466
Viktor Hovland,304.6,69.64,27.25,48.61,1.172,0.521,68.954,Arnold Palmer Invitational,7466
Matt Fitzpatrick,303,71.43,27.5,45.83,0.789,1.289,69.704,Arnold Palmer Invitational,7466
Sergio Garcia,303,51.79,28.5,41.67,0.883,1.288,71.454,Arnold Palmer Invitational,7466
Dylan Frittelli,302.8,48.21,27,45.83,-0.809,0.032,71.704,Arnold Palmer Invitational,7466
Patton Kizzire,302,57.14,29,37.5,-0.122,0.387,71.204,Arnold Palmer Invitational,7466
Charles Howell III,301.1,35.71,30,37.5,-0.173,-0.678,71.204,Arnold Palmer Invitational,7466
Nick Taylor,300.8,57.14,29,40.28,0.469,-0.272,71.204,Arnold Palmer Invitational,7466
Nick Watney,300.6,51.79,27.25,45.83,-1.568,1.818,70.704,Arnold Palmer Invitational,7466
Tommy Fleetwood,300.5,60.71,26.5,52.78,-0.103,1.407,70.704,Arnold Palmer Invitational,7466
Martin Laird,300.4,60.71,30.5,37.5,-0.52,-0.695,71.954,Arnold Palmer Invitational,7466
Danny Lee,299.5,57.14,32,20.83,0.448,-1.598,72.454,Arnold Palmer Invitational,7466
Alex Smalley,299.5,62.5,31.25,27.78,0.56,-0.858,71.454,Arnold Palmer Invitational,7466
Lee Westwood,299.4,58.93,29.75,38.89,0.873,-1.527,72.704,Arnold Palmer Invitational,7466
Hayden Buckley,299,50,30.5,27.78,0.167,-1.173,72.704,Arnold Palmer Invitational,7466
Lanto Griffin,298.9,46.43,28,44.44,-0.628,0.406,71.954,Arnold Palmer Invitational,7466
Marc Leishman,298.9,51.79,29.5,38.89,-0.397,-0.049,72.704,Arnold Palmer Invitational,7466
David Lipsky,298.8,62.5,27.75,47.22,-1.109,1.184,70.954,Arnold Palmer Invitational,7466
Hideki Matsuyama,298.6,55.36,29.75,34.72,0.285,-0.274,70.704,Arnold Palmer Invitational,7466
Tom Hoge,298.3,60.71,26.75,48.61,0.824,0.194,71.204,Arnold Palmer Invitational,7466
Talor Gooch,298.1,66.07,27,45.83,0.077,0.256,69.454,Arnold Palmer Invitational,7466
Matt Jones,298.1,48.21,29.25,36.11,0.347,-1.268,71.954,Arnold Palmer Invitational,7466
Padraig Harrington,298,67.86,28.75,41.67,0.572,-0.469,71.704,Arnold Palmer Invitational,7466
Denny McCarthy,298,50,27.25,41.67,0.454,0.167,72.454,Arnold Palmer Invitational,7466
K.H. Lee,297.8,67.86,28.75,40.28,1.28,-0.548,71.704,Arnold Palmer Invitational,7466
Chris Kirk,297.4,69.64,28.5,44.44,0.868,0.434,69.204,Arnold Palmer Invitational,7466
Corey Conners,296.4,71.43,31.25,27.78,0.916,-0.773,69.954,Arnold Palmer Invitational,7466
Greyson Sigg,296.3,64.29,29,41.67,0.13,-0.676,72.704,Arnold Palmer Invitational,7466
Troy Merritt,296.1,58.93,27.75,40.28,-0.39,-0.273,73.954,Arnold Palmer Invitational,7466
Billy Horschel,295,58.93,27.75,40.28,0.242,1.151,68.954,Arnold Palmer Invitational,7466
Lucas Glover,294.5,55.36,29.25,38.89,-0.292,-0.15,73.954,Arnold Palmer Invitational,7466
Ian Poulter,293.4,60.71,29.25,43.06,0.133,0.156,71.704,Arnold Palmer Invitational,7466
J.J. Spaun,293.1,62.5,28.75,43.06,0.311,1.232,71.954,Arnold Palmer Invitational,7466
Vince Whaley,291.8,44.64,29,38.89,-0.743,0.907,72.454,Arnold Palmer Invitational,7466
Maverick McNealy,291.3,58.93,28.5,38.89,-0.378,0.41,73.454,Arnold Palmer Invitational,7466
Anirban Lahiri,291,53.57,30,34.72,0.078,-0.327,73.954,Arnold Palmer Invitational,7466
Sam Ryder,288.6,42.86,28,40.28,-1.078,0.306,72.454,Arnold Palmer Invitational,7466
Adam Long,288.3,71.43,26.75,43.06,0.31,1.029,71.204,Arnold Palmer Invitational,7466
Christiaan Bezuidenhout,284.9,64.29,27.75,41.67,0.299,-0.412,70.704,Arnold Palmer Invitational,7466
Pat Perez,284.1,60.71,28.5,41.67,-0.187,0.743,71.704,Arnold Palmer Invitational,7466
Stephan Jaeger,282.4,60.71,28.5,45.83,-0.8,0.715,71.954,Arnold Palmer Invitational,7466
Graeme McDowell,279.9,60.71,27.75,45.83,-0.245,0.802,70.204,Arnold Palmer Invitational,7466
Chez Reavie,278.1,64.29,29.75,31.94,-0.061,-1.18,74.704,Arnold Palmer Invitational,7466
Zach Johnson,277.4,60.71,28.25,43.06,-0.4,1.113,71.704,Arnold Palmer Invitational,7466
John Pak,276,57.14,28.5,44.44,-0.525,0.486,71.954,Arnold Palmer Invitational,7466
Brendon Todd,275,58.93,27.5,38.89,-1.224,0.256,72.204,Arnold Palmer Invitational,7466
Jhonattan Vegas,321.3,53.57,29.75,36.11,-0.17,0.446,69.448,The Honda Classic,7125
Curtis Thompson,317.4,48.21,30.75,27.78,0.477,-0.568,69.948,The Honda Classic,7125
Taylor Pendrith,314.8,66.07,30.5,31.94,0.667,-0.27,68.948,The Honda Classic,7125
Martin Trainer,314.4,53.57,29,40.28,0.207,1.951,69.698,The Honda Classic,7125
Kurt Kitayama,314.3,64.29,28.75,38.89,0.095,1.369,66.698,The Honda Classic,7125
Peter Uihlein,314.3,55.36,30.25,30.56,-0.569,-0.697,69.948,The Honda Classic,7125
Dylan Frittelli,312.1,53.57,28.25,38.89,-0.215,0.715,68.698,The Honda Classic,7125
Cameron Young,311.6,64.29,29.75,36.11,1.003,0.19,68.698,The Honda Classic,7125
Trey Mullinax,311.4,57.14,28.25,41.67,0.365,0.172,69.198,The Honda Classic,7125
Gary Woodland,311.4,64.29,29,37.5,0.408,0.785,67.698,The Honda Classic,7125
Brooks Koepka,311.1,64.29,29.25,38.89,0.512,-0.105,68.698,The Honda Classic,7125
Callum Tarren,310.1,55.36,28,45.83,0.493,-0.458,69.198,The Honda Classic,7125
Sepp Straka,309.9,83.93,29,40.28,1.261,1.504,66.198,The Honda Classic,7125
Rickie Fowler,308.5,53.57,28.5,41.67,0.244,1.31,69.448,The Honda Classic,7125
Sam Stevens,307.5,60.71,28.75,40.28,-0.47,0.248,69.948,The Honda Classic,7125
Davis Riley,306.3,50,30.25,31.94,0.421,-0.085,69.448,The Honda Classic,7125
Alex Smalley,305.4,64.29,31,29.17,0.517,0.112,69.948,The Honda Classic,7125
Garrick Higgo,303.9,57.14,31.25,26.39,-0.45,-0.602,70.448,The Honda Classic,7125
Nick Watney,303.5,60.71,30,34.72,-0.091,0.485,69.198,The Honda Classic,7125
Martin Contini,303.3,53.57,27.5,44.44,-0.014,1.047,68.698,The Honda Classic,7125
Keith Mitchell,302.6,58.93,29.5,41.67,0.75,1.165,68.198,The Honda Classic,7125
Mackenzie Hughes,302.4,58.93,30.5,34.72,0.011,0.102,69.698,The Honda Classic,7125
Alex Noren,301,67.86,31,30.56,0.364,0.614,67.698,The Honda Classic,7125
Dylan Wu,300.3,75,29.25,37.5,0.167,1.69,69.198,The Honda Classic,7125
Daniel Berger,299.5,67.86,29.5,31.94,0.516,0.563,66.948,The Honda Classic,7125
Bill Haas,298.9,64.29,29.5,40.28,0.243,0.487,68.948,The Honda Classic,7125
Matthew NeSmith,298.4,67.86,29.5,38.89,0.123,-0.202,68.948,The Honda Classic,7125
Adam Svensson,298.1,69.64,30.5,33.33,0.812,-1.149,68.198,The Honda Classic,7125
Ryan Palmer,298,58.93,28.75,33.33,0.08,-0.567,70.698,The Honda Classic,7125
Brett Drewitt,297.1,46.43,27.75,41.67,-0.674,-0.3,69.948,The Honda Classic,7125
Mito Pereira,297,60.71,30.5,33.33,1.065,-1.086,69.198,The Honda Classic,7125
Danny Willett,296.9,66.07,31.5,31.94,0.527,-1.108,69.698,The Honda Classic,7125
Patrick Rodgers,296.8,66.07,31.5,30.56,0.296,-0.388,70.198,The Honda Classic,7125
Andrew Kozan,295.8,53.57,29.25,40.28,0.253,-0.404,69.198,The Honda Classic,7125
Louis Oosthuizen,295.8,62.5,27,48.61,0.355,1.28,69.198,The Honda Classic,7125
Beau Hossler,295.6,57.14,28.5,44.44,-0.345,1.389,68.698,The Honda Classic,7125
Rick Lamb,295.4,58.93,30,36.11,0.31,0.602,69.198,The Honda Classic,7125
Kevin Streelman,295.3,73.21,29.25,33.33,0.85,0.555,68.698,The Honda Classic,7125
Matthias Schwab,294.5,51.79,30,30.56,-0.264,0.612,67.948,The Honda Classic,7125
C.T. Pan,294,57.14,30.25,30.56,-0.026,-0.282,68.698,The Honda Classic,7125
Lee Hodges,293.9,64.29,28.5,38.89,0.098,0.675,68.198,The Honda Classic,7125
Russell Knox,293.6,67.86,30.5,33.33,0.575,-0.254,69.948,The Honda Classic,7125
K.H. Lee,293.6,60.71,29,43.06,0.338,0.334,69.698,The Honda Classic,7125
Bronson Burgoon,293.4,51.79,29.25,36.11,-0.849,0.348,70.448,The Honda Classic,7125
Nick Taylor,293.3,55.36,29,43.06,0.043,-0.166,68.698,The Honda Classic,7125
Justin Lower,293,53.57,30.25,31.94,-0.988,-0.666,70.198,The Honda Classic,7125
Chris Kirk,292.9,53.57,28,45.83,0.109,0.71,67.948,The Honda Classic,7125
Shane Lowry,292.3,73.21,29.25,37.5,0.963,1.025,66.448,The Honda Classic,7125
Sam Ryder,291.6,66.07,30,29.17,0.107,1.024,68.198,The Honda Classic,7125
J.J. Spaun,291.6,69.64,31,29.17,0.18,0.202,69.198,The Honda Classic,7125
Denny McCarthy,291.1,62.5,28.75,41.67,0.013,1.225,69.198,The Honda Classic,7125
Lee Westwood,291,64.29,29.5,34.72,0.639,0.375,69.448,The Honda Classic,7125
J.T. Poston,290.6,71.43,31.25,30.56,0.776,-0.066,69.448,The Honda Classic,7125
Roger Sloan,290.3,64.29,30.25,40.28,0.391,-0.735,69.948,The Honda Classic,7125
Ian Poulter,289.9,57.14,29.5,38.89,-0.609,0.601,69.198,The Honda Classic,7125
Chase Seiffert,289.9,57.14,30,34.72,0.463,0.053,68.948,The Honda Classic,7125
Billy Horschel,289.4,71.43,30.75,29.17,0.871,-0.42,68.698,The Honda Classic,7125
Mark Hubbard,288,53.57,27.75,45.83,-0.029,1.428,68.448,The Honda Classic,7125
David Lipsky,287.9,67.86,30.25,36.11,0.326,-0.726,69.948,The Honda Classic,7125
Stephan Jaeger,287.8,42.86,27.75,44.44,-1.577,0.712,69.698,The Honda Classic,7125
Robert Streb,286.6,39.29,30.5,30.56,-1.918,0.249,71.698,The Honda Classic,7125
Aaron Rai,286,71.43,29.25,36.11,-0.324,-0.062,70.448,The Honda Classic,7125
Joshua Creel,285.5,64.29,28,44.44,0.16,1.088,70.698,The Honda Classic,7125
Christiaan Bezuidenhout,284.8,64.29,28.25,44.44,0.804,0.518,68.948,The Honda Classic,7125
Lucas Glover,283,67.86,30.5,31.94,0.312,-0.198,69.198,The Honda Classic,7125
Vaughn Taylor,282.5,66.07,30.25,36.11,-0.113,0.001,69.948,The Honda Classic,7125
Brian Gay,281.5,67.86,26.75,45.83,-1.069,1.658,69.448,The Honda Classic,7125
John Huh,279.4,66.07,28.5,45.83,0.101,1.06,68.198,The Honda Classic,7125
William McGirt,277,62.5,29.25,34.72,-0.617,-0.146,70.448,The Honda Classic,7125
Austin Cook,276.1,67.86,29.5,34.72,0.163,0.061,71.698,The Honda Classic,7125
Rory Sabbatini,275.3,58.93,29,36.11,-0.442,-0.959,69.698,The Honda Classic,7125
Brendon Todd,272.6,76.79,28.25,37.5,-0.225,1.276,69.698,The Honda Classic,7125
Brian Stuard,269.1,73.21,28.75,37.5,0.118,0.491,68.198,The Honda Classic,7125
Taylor Pendrith,301.4,62.5,30.5,36.11,0.938,0.619,70.154,THE PLAYERS Championship,7256
Joaquin Niemann,299.8,51.79,29.75,31.94,0.794,-0.301,70.404,THE PLAYERS Championship,7256
Lucas Herbert,299,44.64,28.25,41.67,-0.95,0.306,73.404,THE PLAYERS Championship,7256
Aaron Wise,298.9,55.36,32.25,27.78,0.429,-1.256,71.654,THE PLAYERS Championship,7256
Jason Kokrak,297.3,60.71,27.5,41.67,-0.578,0.299,71.904,THE PLAYERS Championship,7256
Keegan Bradley,296.4,67.86,29.5,40.28,1.385,-0.265,69.404,THE PLAYERS Championship,7256
Viktor Hovland,295.8,78.57,30.5,33.33,1.175,-0.786,69.904,THE PLAYERS Championship,7256
Brendan Steele,295.3,76.79,30.25,36.11,1.904,-0.524,70.154,THE PLAYERS Championship,7256
Dustin Johnson,294.6,55.36,28,48.61,0.567,1.341,69.904,THE PLAYERS Championship,7256
Tommy Fleetwood,294.5,67.86,30.75,29.17,0.813,-0.398,70.404,THE PLAYERS Championship,7256
Max Homa,294.5,60.71,29.75,40.28,1.095,-0.337,70.154,THE PLAYERS Championship,7256
Rory McIlroy,293.6,66.07,29.75,33.33,0.77,-1.121,70.904,THE PLAYERS Championship,7256
Sam Burns,293.5,46.43,28.75,45.83,0.046,1.101,70.654,THE PLAYERS Championship,7256
Scottie Scheffler,293.1,50,27.75,48.61,0.25,0.433,72.154,THE PLAYERS Championship,7256
Will Zalatoris,293.1,57.14,30,36.11,1.112,-0.391,70.654,THE PLAYERS Championship,7256
Tyrrell Hatton,292.8,51.79,27.25,51.39,-0.309,2.109,70.154,THE PLAYERS Championship,7256
Jon Rahm,292.4,71.43,31.5,29.17,1.806,-0.247,72.154,THE PLAYERS Championship,7256
Sergio Garcia,291.8,69.64,30,37.5,0.967,0.742,70.654,THE PLAYERS Championship,7256
Keith Mitchell,291,62.5,29,44.44,1.07,0.351,70.154,THE PLAYERS Championship,7256
Cameron Smith,290.8,42.86,25.25,58.33,-1.293,2.88,68.404,THE PLAYERS Championship,7256
Scott Stallings,290.4,60.71,28.5,41.67,-0.208,0.478,71.154,THE PLAYERS Championship,7256
Chesson Hadley,290,46.43,26.75,51.39,-1.55,2.277,72.654,THE PLAYERS Championship,7256
Paul Casey,289.5,55.36,26.75,50,-0.269,1.22,68.904,THE PLAYERS Championship,7256
Sebastián Muñoz,289.3,64.29,28.5,43.06,0.653,0.842,70.904,THE PLAYERS Championship,7256
Patton Kizzire,289.1,51.79,27.75,47.22,-1.031,1.953,70.404,THE PLAYERS Championship,7256
Shane Lowry,288,51.79,30,33.33,0.432,0.426,70.154,THE PLAYERS Championship,7256
Nick Watney,286.9,57.14,31.25,30.56,-0.421,-0.435,72.904,THE PLAYERS Championship,7256
Adam Hadwin,286.6,64.29,28.25,44.44,-0.266,1.427,69.904,THE PLAYERS Championship,7256
Sepp Straka,286.5,58.93,29.75,36.11,0.859,1.5,69.904,THE PLAYERS Championship,7256
Seamus Power,286.3,64.29,30,37.5,1.271,0.898,70.904,THE PLAYERS Championship,7256
Peter Malnati,285.9,57.14,29,43.06,-0.859,0.787,71.404,THE PLAYERS Championship,7256
Justin Thomas,285.9,62.5,28.75,34.72,0.548,-0.151,70.904,THE PLAYERS Championship,7256
Harold Varner III,284.1,67.86,29.25,40.28,0.743,0.134,69.654,THE PLAYERS Championship,7256
Dylan Frittelli,284,57.14,30.5,36.11,-0.032,-0.556,71.654,THE PLAYERS Championship,7256
Maverick McNealy,283.6,58.93,30,34.72,0.403,0.043,71.404,THE PLAYERS Championship,7256
Alex Noren,283.1,50,29.25,43.06,0.163,-0.151,70.654,THE PLAYERS Championship,7256
Anirban Lahiri,282.8,67.86,28.5,41.67,0.871,1.413,68.654,THE PLAYERS Championship,7256
Louis Oosthuizen,282.5,78.57,28.75,37.5,1.173,-0.014,71.154,THE PLAYERS Championship,7256
Hayden Buckley,282.4,75,32.5,27.78,1.483,-1.471,72.904,THE PLAYERS Championship,7256
Jimmy Walker,282.1,60.71,30.75,33.33,0.247,-1.239,72.154,THE PLAYERS Championship,7256
Doc Redman,282,62.5,30,31.94,0.854,0.168,70.654,THE PLAYERS Championship,7256
Erik van Rooyen,280.9,53.57,29.75,34.72,-0.376,-0.941,70.154,THE PLAYERS Championship,7256
Tom Hoge,280.3,71.43,30.25,31.94,0.824,-1.309,70.904,THE PLAYERS Championship,7256
Corey Conners,280,58.93,29.75,34.72,0.415,0.188,70.654,THE PLAYERS Championship,7256
Daniel Berger,279.6,55.36,26.25,50,0.105,1.333,70.154,THE PLAYERS Championship,7256
Troy Merritt,279.6,55.36,28.25,44.44,-0.478,1.151,71.404,THE PLAYERS Championship,7256
Francesco Molinari,279.4,60.71,29.5,34.72,0.025,-0.234,71.154,THE PLAYERS Championship,7256
K.H. Lee,279.3,51.79,30.75,31.94,-0.364,0.164,72.154,THE PLAYERS Championship,7256
Russell Henley,278.9,57.14,28,40.28,-0.808,0.581,70.154,THE PLAYERS Championship,7256
Sungjae Im,278.9,51.79,28.5,37.5,-0.327,0.098,72.154,THE PLAYERS Championship,7256
Brice Garnett,278.6,60.71,29,41.67,-0.386,-0.258,71.654,THE PLAYERS Championship,7256
Lee Hodges,278.3,71.43,30.75,37.5,0.212,-1.701,73.904,THE PLAYERS Championship,7256
Patrick Reed,278.3,55.36,28,45.83,-1.433,2.246,70.654,THE PLAYERS Championship,7256
Kevin Streelman,278.3,82.14,28.25,45.83,0.433,0.835,70.404,THE PLAYERS Championship,7256
Sam Ryder,277.5,53.57,28.25,45.83,-0.692,0.707,72.404,THE PLAYERS Championship,7256
Branden Grace,276.9,53.57,28.5,40.28,0.115,0.009,71.904,THE PLAYERS Championship,7256
Russell Knox,276.1,73.21,30.25,29.17,0.737,0.377,69.654,THE PLAYERS Championship,7256
Joel Dahmen,275.9,67.86,29,37.5,-0.006,1.205,70.904,THE PLAYERS Championship,7256
Adam Long,274.8,73.21,28.75,41.67,0.675,0.374,71.404,THE PLAYERS Championship,7256
Abraham Ancer,274.5,62.5,28.5,38.89,0.2,0.156,70.904,THE PLAYERS Championship,7256
Denny McCarthy,274.1,55.36,29.25,38.89,-0.631,0.112,72.404,THE PLAYERS Championship,7256
Brian Harman,274,69.64,29.25,31.94,0.53,-0.348,72.654,THE PLAYERS Championship,7256
Kramer Hickok,273.8,67.86,30.5,36.11,0.534,-0.355,71.154,THE PLAYERS Championship,7256
Ian Poulter,273.1,69.64,28.5,43.06,-0.298,0.098,70.904,THE PLAYERS Championship,7256
Pat Perez,272.6,66.07,28,44.44,-0.407,1.437,70.904,THE PLAYERS Championship,7256
Michael Thompson,272.6,71.43,28.5,48.61,-0.154,0.934,72.404,THE PLAYERS Championship,7256
Bubba Watson,272.5,60.71,29.75,38.89,0.495,0.149,73.404,THE PLAYERS Championship,7256
Doug Ghim,272.4,78.57,29.5,40.28,0.948,0.336,69.654,THE PLAYERS Championship,7256
Kevin Kisner,271.9,67.86,26.75,44.44,0.516,1.473,69.154,THE PLAYERS Championship,7256
Hank Lebioda,270.1,53.57,31,30.56,-0.996,-0.597,72.654,THE PLAYERS Championship,7256
Jason Kokrak,326.6,50,27,48.61,0.49,0.126,70.051,RBC Heritage,7191
Wyndham Clark,321.6,67.86,27.5,47.22,0.475,0.156,70.051,RBC Heritage,7191
Justin Thomas,317.3,48.21,26.25,55.56,0.002,0.037,70.051,RBC Heritage,7191
Charl Schwartzel,314.5,60.71,28,44.44,0.35,0.238,71.051,RBC Heritage,7191
Sepp Straka,313.3,58.93,27,41.67,0.355,0.454,68.551,RBC Heritage,7191
Webb Simpson,312.8,66.07,28,41.67,0.262,-1.178,71.551,RBC Heritage,7191
Cam Davis,312.6,62.5,26.75,51.39,0.735,0.345,68.551,RBC Heritage,7191
Cameron Young,309.5,71.43,26,54.17,1.139,-0.223,68.551,RBC Heritage,7191
Robert Streb,307.1,57.14,26,55.56,-0.129,0.486,70.301,RBC Heritage,7191
Aaron Wise,305.8,64.29,27.25,45.83,0.844,0.657,69.551,RBC Heritage,7191
Joseph Bramlett,305.3,60.71,27.5,44.44,0.917,0.031,70.551,RBC Heritage,7191
J.T. Poston,302.9,78.57,27.5,47.22,1.052,0.477,68.551,RBC Heritage,7191
Doug Ghim,302.4,69.64,26.25,43.06,0.534,-0.003,70.051,RBC Heritage,7191
Tyrrell Hatton,302.3,37.5,25.75,48.61,-0.921,0.917,69.801,RBC Heritage,7191
Patton Kizzire,302,55.36,26.25,52.78,-0.003,0.672,69.801,RBC Heritage,7191
Hudson Swafford,302,62.5,26.5,48.61,-0.452,1.723,70.051,RBC Heritage,7191
Alex Noren,301.9,67.86,28,41.67,-0.084,0.682,70.301,RBC Heritage,7191
Joaquin Niemann,301.3,53.57,26.75,51.39,0.522,0.618,69.301,RBC Heritage,7191
Shane Lowry,301.1,60.71,26.5,55.56,-0.051,0.862,68.551,RBC Heritage,7191
Matthew NeSmith,301.1,62.5,28.5,41.67,0.137,-0.184,69.301,RBC Heritage,7191
Sahith Theegala,301,58.93,28.75,43.06,-0.128,-0.271,73.051,RBC Heritage,7191
Maverick McNealy,300.9,62.5,28.25,45.83,0.356,0.483,69.801,RBC Heritage,7191
Scott Piercy,300.6,64.29,26.25,51.39,0.318,1.216,69.301,RBC Heritage,7191
Lucas Glover,300.5,75,28,40.28,0.944,-0.937,70.551,RBC Heritage,7191
Troy Merritt,300.5,75,26,54.17,0.814,1.25,69.301,RBC Heritage,7191
Harold Varner III,300.5,48.21,27.25,48.61,-0.384,1.342,68.551,RBC Heritage,7191
Danny Willett,300.4,60.71,27.75,40.28,-0.721,-0.099,70.801,RBC Heritage,7191
Corey Conners,300.3,67.86,26.75,47.22,0.383,0.43,69.301,RBC Heritage,7191
Peter Malnati,300.3,53.57,27,43.06,-0.445,-0.093,70.301,RBC Heritage,7191
Bill Haas,300,71.43,27,45.83,0.018,0.281,71.551,RBC Heritage,7191
Branden Grace,299.5,62.5,30,36.11,0.555,-0.438,70.051,RBC Heritage,7191
Patrick Cantlay,299,62.5,28.5,43.06,0.6,0.063,68.301,RBC Heritage,7191
